strain,assay_date,day_measured,worm_measured,brood_size,measured_by,censor,reason_for_censoring,observations
GFP,6/16/16,D1,P1,162,Tiffany Tsou,0,,
GFP,6/16/16,D1,P2,191,Tiffany Tsou,0,,
GFP,6/16/16,D1,P3,163,Tiffany Tsou,0,,
01C1,6/16/16,D1,P1,186,Tiffany Tsou,0,,
01C1,6/16/16,D1,P2,196,Tiffany Tsou,0,,
01C1,6/16/16,D1,P3,167,Tiffany Tsou,0,,
01B4,6/16/16,D1,P1,153,Tiffany Tsou,0,,
01B4,6/16/16,D1,P2,147,Tiffany Tsou,0,,
01B4,6/16/16,D1,P3,177,Tiffany Tsou,0,,
GFP,6/16/16,D2,P1,171,Tiffany Tsou,0,,
GFP,6/16/16,D2,P2,209,Tiffany Tsou,0,,
GFP,6/16/16,D2,P3,121,Tiffany Tsou,0,,
01C1,6/16/16,D2,P1,109,Tiffany Tsou,0,,
01C1,6/16/16,D2,P2,175,Tiffany Tsou,0,,
01C1,6/16/16,D2,P3,174,Tiffany Tsou,0,,
01B4,6/16/16,D2,P1,116,Tiffany Tsou,0,,
01B4,6/16/16,D2,P2,159,Tiffany Tsou,0,,
01B4,6/16/16,D2,P3,120,Tiffany Tsou,0,,
GFP,6/16/16,D3,P1,0,Tiffany Tsou,0,,
GFP,6/16/16,D3,P2,0,Tiffany Tsou,0,,
GFP,6/16/16,D3,P3,0,Tiffany Tsou,0,,
01C1,6/16/16,D3,P1,0,Tiffany Tsou,0,,
01C1,6/16/16,D3,P2,0,Tiffany Tsou,0,,
01C1,6/16/16,D3,P3,0,Tiffany Tsou,0,,
01B4,6/16/16,D3,P1,0,Tiffany Tsou,0,,
01B4,6/16/16,D3,P2,0,Tiffany Tsou,0,,
01B4,6/16/16,D3,P3,0,Tiffany Tsou,0,,
GFP,6/18/16,D1,P1,134,Tiffany Tsou,0,,
GFP,6/18/16,D1,P2,149,Tiffany Tsou,0,,
GFP,6/18/16,D1,P3,172,Tiffany Tsou,0,,
01C4,6/18/16,D1,P1,174,Tiffany Tsou,0,,
01C4,6/18/16,D1,P2,161,Tiffany Tsou,0,,
01C4,6/18/16,D1,P3,153,Tiffany Tsou,0,,
02B4,6/18/16,D1,P1,165,Tiffany Tsou,0,,
02B4,6/18/16,D1,P2,138,Tiffany Tsou,0,,
02B4,6/18/16,D1,P3,148,Milla Freeman,0,,
GFP,6/18/16,D2,P1,151,Tiffany Tsou,0,,
