# This file contains the GENOTYPE regression coefficients associated with each gene ,,,,,,,,,,,,,
,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
1,Y54F10AM.11,4.59E-29,9.70E-25,1.573792832,0.140648382,6.514341307,0.769960208,0.002164071,0.02750888,0.018192635,0.02750888,WBGene00021853,Y54F10AM.11
2,F08F3.7,1.08E-28,1.14E-24,-2.260201818,0.203380054,5.712320543,0.86314607,0.00487027,0.0571749,0.032693366,0.0571749,WBGene00000373,cyp-14A5
3,C29F7.2,3.61E-27,2.55E-23,-2.705176571,0.250582363,5.79352109,1.315092831,0.004228776,0.089958505,0.03078762,0.089958505,WBGene00007811,C29F7.2
4,F40B1.1,1.25E-24,6.63E-21,-2.861530349,0.279325848,4.753758395,2.949545209,0.024121566,0.092912828,0.060819987,0.092912828,WBGene00018223,bath-13
5,F32B5.8a,2.80E-23,1.18E-19,-0.999055293,0.100513253,8.54822987,0.628417309,0.002259378,0.012894993,0.007114774,0.012894993,WBGene00000788,cpz-1
6,Y39B6A.20.4,1.25E-22,4.42E-19,-1.319369967,0.134778852,9.172703033,1.475801652,0.000958693,0.026289315,0.007007751,0.026289315,WBGene00000214,asp-1
7,Y113G7B.5b,5.78E-21,1.75E-17,-2.396689534,0.255133364,5.448169164,1.737065184,0.058226261,-0.025611633,0.039413289,0.039413289,WBGene00001482,fog-2
8,F31E3.1,7.18E-21,1.90E-17,0.907912451,0.096884457,6.998602325,0.156704015,0.001047395,0.004541637,0.013032502,0.013032502,WBGene00000443,ceh-20
9,F21C10.11a,1.59E-20,3.73E-17,1.928245901,0.207626782,5.246152414,1.697712751,0.019719412,0.036688592,0.044943909,0.044943909,WBGene00017660,F21C10.11
10,ZK816.5,6.99E-20,1.48E-16,2.330586318,0.255327983,6.96517147,1.578729291,0.001887512,0.095901056,0.013325307,0.095901056,WBGene00000989,dhs-26
11,F28A10.6,9.18E-20,1.76E-16,-1.099506155,0.120847618,6.97423848,0.516284953,0.001146601,0.02075962,0.013244869,0.02075962,WBGene00017874,acdh-9
12,R03G8.6,2.64E-19,4.66E-16,-1.470187414,0.163670494,5.598118339,0.906492006,0.004670605,0.02646172,0.035511441,0.035511441,WBGene00011000,R03G8.6
13,F20H11.5,4.45E-19,7.23E-16,-0.962047957,0.10778896,7.272999589,0.258729729,0.000770164,0.016657526,0.011031376,0.016657526,WBGene00017648,ddo-3
