,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
617,618,M18.1a,7.024150049111299e-10,2.40310039625178e-08,-7.0774150282243395,1.14789801461866,4.1523898919821605,11.6428300165203,1.0469228257094598,0.9295819522387341,0.0909641937326615,0.9295819522387341,WBGene00000703,col-129
368,369,F15E11.15a,6.73978632459174e-13,3.86176970896594e-11,-6.804187859777301,0.94705002818598,2.9547755406606298,10.5107230820222,0.302095728451924,1.0432599053786702,0.21970720999839702,1.0432599053786702,WBGene00017501,pud-3
126,127,C27H6.4c.5,3.53360855536481e-21,5.8827626524471e-19,-6.190782811845981,0.655414190444583,2.56639756275054,11.7726891026584,0.345253958112322,-0.17559329694789902,0.29909768344187104,0.29909768344187104,WBGene00007786,rmd-2
769,770,M199.5b,7.380337488480391e-09,2.0265256560901398e-07,-6.1393086889603605,1.0617907318917,2.3798468608273904,8.095149784231111,1.34368566154504,-0.368484026061508,0.34741367595162304,0.34741367595162304,WBGene00000708,col-135
1497,1498,C05D12.3c.1,3.3399973235521197e-06,4.71412305820177e-05,-6.038288365775031,1.2989139264598402,2.56476109361765,8.53904917844534,2.23127660808319,-0.215896237116107,0.299489474443792,0.299489474443792,WBGene00014666,C05D12.3
3490,3491,K09E9.1.3,0.0016850360648438699,0.0102075806887526,-6.03820927383312,1.9225243916121,2.79677781899485,9.18501610216688,2.95086609320002,2.59328396131517,0.24895444970534697,2.59328396131517,WBGene00010724,K09E9.1
80,81,F37B4.7,4.346338829518439e-27,1.1345017515124498e-24,-5.8581635366938904,0.543501474000649,5.57310076125,7.956158713440599,0.0291588759356755,0.41393190242564204,0.0361480664633643,0.41393190242564204,WBGene00018138,folt-2
56,57,F11G11.11,5.28927816274651e-32,1.9619510209640302e-29,-5.3608923385075995,0.45530072328500004,7.67300177817284,9.27593253080016,0.00370487689684986,0.307243246038916,0.00911235553369172,0.307243246038916,WBGene00000609,col-20
2474,2475,R12C12.1a.1,0.00018796420033970302,0.00160570791425549,-5.33047691345051,1.4272966805145402,4.88260660270417,6.79497832714115,1.25706322088982,1.7987005004219199,0.0561805744317138,1.7987005004219199,WBGene00020022,R12C12.1
2029,2030,C14C10.2b,4.5077486627450896e-05,0.000469494236337041,-5.2796324312467595,1.2940959359253401,2.61835419114792,5.50394628847566,2.2250929928917103,-0.749103407814533,0.286933444176021,0.286933444176021,WBGene00007585,C14C10.2
