,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
7247,7,8,F31E3.1,7.18e-21,1.9e-17,0.907912451,0.096884457,6.998602325,0.156704015,0.001047395,0.004541637,0.013032502,0.013032502,WBGene00000443,ceh-20
14937,53,54,T23G4.1,1.79e-10,7.01e-08,0.825871962,0.12948177800000002,6.19589051,0.144279083,0.0023859379999999998,0.00690807,0.022762357999999996,0.022762357999999996,WBGene00006580,tlp-1
15928,73,74,W06H12.1,5.31e-09,1.52e-06,0.54052303,0.092602004,7.1336490889999995,0.053130092000000004,0.000905749,0.006178802,0.011956948,0.011956948,WBGene00012317,ztf-6
1142,99,100,C05G6.1,3.73e-08,7.89e-06,0.902821393,0.164058167,6.341267717999999,0.148970499,0.002090585,0.038282039,0.020485735,0.038282039,WBGene00015497,nhr-76
9670,132,133,F56A12.1,2.7800000000000003e-07,4.429999999999999e-05,2.440696299,0.47507698600000003,3.569339563,1.4861302730000001,0.095862949,0.24268426399999998,0.136826105,0.24268426399999998,WBGene00006775,unc-39
8895,146,147,F49E12.6,4.77e-07,6.87e-05,0.810431,0.16095490699999998,6.040747177999999,0.165314929,0.002795171,0.036064552,0.025561932000000002,0.036064552,WBGene00009899,efl-3
20254,208,209,ZC513.6,2.76e-06,0.000279695,0.34519515,0.07364067,9.867029035,0.03885533,5.65e-05,0.00213791,0.008077888,0.008077888,WBGene00003865,oma-2
3471,323,324,C39E6.4,2e-05,0.001303979,2.019642351,0.473529025,2.902064078,0.809670654,0.091754692,0.244589915,0.229043937,0.244589915,WBGene00003377,mls-2
7280,339,340,F32A11.6,2.3800000000000003e-05,0.001478306,-1.184673736,0.280319998,6.097948467999999,0.302321738,0.002363604,0.11550534800000001,0.024485467,0.11550534800000001,WBGene00003388,moe-3
9060,345,346,F52E10.1,2.47e-05,0.001507447,0.37651216600000004,0.089267285,7.2439887679999995,0.027723669,0.000744521,0.0057611419999999995,0.011208451000000001,0.011208451000000001,WBGene00004745,sdc-1
5972,352,353,F15C11.1,2.72e-05,0.0016250670000000002,0.9341293070000001,0.22264219899999999,4.777559093,0.491286416,0.014426069,0.040491829,0.05992825400000001,0.05992825400000001,WBGene00004773,sem-4
7797,414,415,F37D6.6,4.83e-05,0.002462724,0.924258197,0.227452811,4.6528816619999995,0.283093056,0.012801047,0.038088862,0.064801125,0.064801125,WBGene00006445,tag-68
17965,420,421,Y48B6A.14,5.2600000000000005e-05,0.002642313,0.29552365199999997,0.073082452,9.81420394,0.01416659,6.53e-05,0.00274769,0.007946268000000001,0.007946268000000001,WBGene00001971,hmg-1.1
13927,513,514,T08D10.1,0.00012183,0.005011371,0.422877423,0.11005511800000001,6.633613715,0.037068607,0.001411661,0.004350003,0.016756533,0.016756533,WBGene00011614,nfya-1
7256,567,568,F31E8.3,0.00016919599999999998,0.006298081,2.48164646,0.659826629,2.213930264,1.6684946930000002,0.20414399800000002,0.448912772,0.39724933100000004,0.448912772,WBGene00006380,tab-1
2555,568,569,C26E6.2,0.00017150900000000003,0.006372951,0.37835165600000004,0.100688065,6.87866146,0.026557995,0.001076622,0.00618792,0.014130508,0.014130508,WBGene00016138,flh-2
8755,594,595,F47G4.6,0.00021254099999999998,0.007552540999999999,2.9171156739999997,0.78763822,2.997797416,2.017018143,0.071689587,0.858871362,0.212381232,0.858871362,WBGene00009827,hmg-6
1621,646,647,C10A4.8,0.000296533,0.009690253000000001,-1.296076067,0.35819926799999996,3.4223915639999998,0.418741068,0.039883813,0.11504318300000001,0.15257626,0.15257626,WBGene00003380,mnm-2
4374,662,663,C54E10.5,0.000327934,0.010457789,-0.940504773,0.261820697,4.241444567,0.18571291899999998,0.017286386,0.027714813999999997,0.08553873099999999,0.08553873099999999,WBGene00008309,nhr-170
4580,705,706,D1014.8,0.00040019999999999997,0.011961038,-0.274850894,0.077642557,7.808388000000001,0.04121287,0.00041919699999999995,0.00625317,0.008623353,0.008623353,WBGene00005006,spr-1
12345,729,730,R04B5.3,0.00043035800000000004,0.012464451000000001,-1.8318305780000002,0.520298233,2.631222041,0.941168696,0.122063848,0.06652614700000001,0.284001528,0.284001528,WBGene00011002,nhr-205
15138,759,760,T26C11.6,0.000492548,0.013702569,0.39051195299999997,0.11206227,6.579667239,0.059159088,0.0014417829999999999,0.005529076999999999,0.017395146,0.017395146,WBGene00000444,ceh-21
9046,790,791,F52E1.1,0.000566254,0.015116551,0.267548891,0.077611513,10.16264963,0.022093525,3.77e-05,0.004928905999999999,0.00899763,0.00899763,WBGene00004078,pos-1
8286,808,809,F43C1.4,0.000613264,0.016013541000000003,0.333371535,0.097315449,6.970887045,0.026734092999999997,0.000930932,0.00753618,0.013274511999999999,0.013274511999999999,WBGene00003619,nhr-20
6037,847,848,F16B12.6,0.00069443,0.017314081000000002,0.275292531,0.081164889,7.606188847,0.017978533999999997,0.000499586,0.005418049,0.009382023,0.009382023,WBGene00008882,F16B12.6
3055,865,866,C33G8.6,0.000766651,0.018695842,-0.592327533,0.17604889199999998,5.3563842589999995,0.08513644,0.004604912,0.028585851000000002,0.041884907,0.041884907,WBGene00003632,nhr-42
19120,868,869,Y66A7A.5,0.0007740889999999999,0.018833796,0.269584384,0.080188169,7.667336717,0.118532611,0.000510732,0.00422051,0.009134482,0.009134482,WBGene00013425,ceh-91
13516,899,900,T04G9.1,0.00083749,0.019674503,0.469078215,0.140438483,6.298964295,0.067310521,0.002092047,0.027492405,0.021113627000000003,0.027492405,WBGene00020214,attf-5
10176,907,908,F59B10.1,0.000866134,0.020186261,0.40213447799999996,0.120734033,6.369399901,0.036148911,0.0017812479999999998,0.012775543,0.020083812,0.020083812,WBGene00004134,pqn-47
19194,938,939,Y67D8A.3,0.0009680310000000001,0.021796677999999996,0.37424291200000004,0.11341873599999999,6.550402513,0.030919927000000003,0.001546391,0.007821979,0.017749323,0.017749323,WBGene00022060,dmd-9
2694,953,954,C28A5.4,0.0010325389999999999,0.022765349,1.111985697,0.338864331,5.507172576,0.3541666,0.004765453,0.167478099,0.037854741000000004,0.167478099,WBGene00000463,ceh-43
13968,972,973,T08H4.3,0.00108416,0.023558472999999996,2.27123979,0.695052496,1.664113385,1.322079171,0.103630975,0.24796106899999998,0.621015984,0.621015984,WBGene00020368,ast-1
5929,982,983,F14H3.11,0.001128518,0.024225211,-0.753028313,0.231248708,4.561141035,0.241546763,0.01146915,0.017716162,0.068744798,0.068744798,WBGene00008830,nhr-176
2645,1072,1073,C27C7.3,0.0015387670000000001,0.030300478999999998,1.192470953,0.376497897,4.250424766,0.387456284,0.024485984,0.18814001600000002,0.08500794199999999,0.18814001600000002,WBGene00003664,nhr-74
16577,1089,1090,Y11D7A.13,0.001617862,0.031382066,0.320072389,0.101524321,6.850353387,0.052786672,0.001052261,0.006958455,0.014408521,0.014408521,WBGene00012436,flh-3
7263,1125,1126,F31F4.12,0.0017883970000000002,0.033604874,-0.710930242,0.227622021,4.583272571,0.145465079,0.009955347,0.065084346,0.06776232900000001,0.06776232900000001,WBGene00017961,nhr-180
