,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
3005,62,63,C33B4.4,1.13e-09,3.8100000000000004e-07,0.986098592,0.16193898699999998,5.630439468,0.37016738,0.004637614,0.01846172,0.03469874,0.03469874,WBGene00007892,C33B4.4
16354,1134,1135,Y110A2AL.3,0.0018097529999999999,0.033729576000000004,0.986247795,0.316125569,3.7296818139999997,0.256367406,0.027957173999999998,0.117537839,0.12194589,0.12194589,WBGene00022440,Y110A2AL.3
4479,1744,1745,C56A3.7c,0.006465991,0.078303971,1.017955094,0.373813335,3.7099615289999996,0.185536377,0.08594163199999999,-0.058314815,0.12366298099999999,0.12366298099999999,WBGene00000302,cav-2
11812,350,351,M01D7.5,2.64e-05,0.00159181,1.031429579,0.24544624,4.402948034,0.198028507,0.013932469,0.014583882,0.076433317,0.076433317,WBGene00003750,nlp-12
18549,354,355,Y54F10BL.1,2.7699999999999996e-05,0.001647099,1.032243764,0.24624371899999997,4.412358887,0.22099216800000002,0.015014015,0.009720541999999999,0.075939939,0.075939939,WBGene00044676,fbxa-42
5132,1189,1190,F02H6.4b,0.0020861210000000002,0.037002393,1.072911127,0.348609271,3.781915226,0.27243029,0.064756498,0.013010863000000001,0.117536137,0.117536137,WBGene00008537,F02H6.4
17551,1916,1917,Y42G9A.2,0.00841639,0.09282615300000001,1.075635864,0.408227588,3.233525344,0.30932699199999997,0.07346264599999999,0.10673591800000001,0.176512,0.176512,WBGene00021532,Y42G9A.2
5169,1287,1288,F07A5.7b.1,0.0027444920000000003,0.04502363400000001,1.080789518,0.360865204,5.262319778999999,0.532032429,0.052821254000000005,0.14251428900000002,0.044487987,0.14251428900000002,WBGene00006754,unc-15
19328,1749,1750,Y6G8.9,0.006544810999999999,0.079089952,1.085089623,0.39905337,3.310959172,0.743408469,0.048721215,0.19014417399999997,0.166157991,0.19014417399999997,WBGene00050974,Y6G8.9
10130,247,248,F59A1.10,7.57e-06,0.0006453930000000001,1.112242023,0.24843515,6.236763411,0.265462762,0.002435078,0.090144957,0.022088362,0.090144957,WBGene00010296,dgat-2
16188,842,843,Y105C5A.25,0.0006770389999999999,0.017090536,1.137871471,0.334794889,4.263467426,0.594821687,0.021184658,0.146946768,0.084242074,0.146946768,WBGene00013644,Y105C5A.25
11309,1319,1320,K08E3.5f,0.0029676520000000003,0.047534137000000004,1.15972097,0.39033795600000004,4.853532015,0.292427149,0.171356531,-0.041542202,0.057189049000000006,0.057189049000000006,WBGene00010665,K08E3.5
2645,1072,1073,C27C7.3,0.0015387670000000001,0.030300478999999998,1.192470953,0.376497897,4.250424766,0.387456284,0.024485984,0.18814001600000002,0.08500794199999999,0.18814001600000002,WBGene00003664,nhr-74
7313,1180,1181,F32B4.8,0.002036785,0.036463795,1.21250776,0.393056821,3.23060235,0.38745388799999997,0.054824551,0.006675058,0.17691594600000002,0.17691594600000002,WBGene00009318,F32B4.8
21064,394,395,ZK892.6,3.929999999999999e-05,0.002108691,1.239131492,0.301357557,3.892029511,0.231374037,0.027380829,-0.014595653,0.108843736,0.108843736,WBGene00014130,ZK892.6
10777,1997,1998,K02E11.7,0.009383644,0.099298496,1.339119119,0.515491667,2.620126616,0.38183480700000005,0.11206976099999999,0.049262897,0.286527727,0.286527727,WBGene00010516,K02E11.7
15236,1564,1565,T27E4.4,0.004727207,0.063864115,1.349237605,0.47759644100000004,5.067271392,0.61450665,0.008970084,0.333177457,0.050201237999999995,0.333177457,WBGene00020862,fip-2
19210,503,504,Y67D8C.23,0.00011645299999999999,0.0048852620000000005,1.378148151,0.357637782,3.4909890530000003,0.5507698879999999,0.046913851,0.054410928,0.144943324,0.144943324,WBGene00235353,Y67D8C.23
5095,117,118,F02D8.5,1.48e-07,2.6000000000000002e-05,1.474696821,0.280607842,5.045819596,0.644067402,0.008397917,0.109713225,0.050862785,0.109713225,WBGene00008522,F02D8.5
9943,1866,1867,F57F4.2,0.007923115,0.089629974,1.504975797,0.5667756939999999,2.431514917,0.433179597,0.148587574,-0.032939577000000005,0.333264458,0.333264458,WBGene00019016,F57F4.2
12984,1228,1229,R13A5.11,0.002285988,0.039326812999999995,1.50563291,0.49359859799999994,2.977264851,0.576280379,0.09732291400000001,0.26813645,0.215845325,0.26813645,WBGene00020053,R13A5.11
13761,1722,1723,T07A5.3,0.006152947,0.075496183,1.521661289,0.555448681,4.547471664,0.724612939,0.014991413,0.44779344200000004,0.06936210799999999,0.44779344200000004,WBGene00011556,vglu-3
2305,466,467,C23H4.4a,8.170000000000001e-05,0.003700325,1.552386998,0.394080369,3.550783242,0.506122913,0.093987007,0.138961998,0.138694073,0.138961998,WBGene00007693,C23H4.4
183,1115,1116,B0228.4c,0.0017285579999999998,0.032748129,1.556606582,0.496795475,4.187355661000001,0.6583194410000001,0.051760582,0.318448033,0.08879785300000001,0.318448033,WBGene00015061,cpna-2
13388,1265,1266,T03D8.7,0.002569563,0.042897236,1.692957319,0.561506497,2.483585234,0.9268370640000001,0.153320103,0.175394128,0.319614216,0.319614216,WBGene00011394,T03D8.7
1509,1384,1385,C09D1.1a,0.003399038,0.05181388,1.727316079,0.589701213,5.27333921,0.8055095640000001,0.159246652,0.362374629,0.044178773,0.362374629,WBGene00006820,unc-89
14097,92,93,T10E9.3,2.46e-08,5.59e-06,1.736506813,0.311410028,4.192592736,0.63929575,0.023129532,0.12233477599999999,0.08847750199999999,0.12233477599999999,WBGene00020413,T10E9.3
4907,1954,1955,E02H4.1,0.008941738000000001,0.09665397,1.747671099,0.668511148,1.920794051,0.867523995,0.166356273,0.39981963,0.50400446,0.50400446,WBGene00000952,del-1
15820,1807,1808,W05B2.7,0.007247189,0.08470277699999999,1.820153395,0.677829586,2.338968462,0.9984871259999999,0.170817844,0.5183615779999999,0.359053245,0.5183615779999999,WBGene00012273,W05B2.7
2281,44,45,C23G10.6,5.4600000000000004e-11,2.57e-08,1.846163419,0.281521053,5.746167461000001,0.838552271,0.005099752,0.113781403,0.031888482999999995,0.113781403,WBGene00016013,C23G10.6
1566,1994,1995,C09G1.5.1,0.009360749,0.09920516800000001,1.850638403,0.712170201,1.862252763,1.084622485,0.220302136,0.540477456,0.52858453,0.540477456,WBGene00007487,C09G1.5
16893,1325,1326,Y34F4.3,0.0030106240000000004,0.048004240999999996,1.869481954,0.630165766,2.0261561390000002,1.139692746,0.12167204599999999,0.473991293,0.462629409,0.473991293,WBGene00021338,Y34F4.3
1314,1521,1522,C07A4.2,0.004355038,0.060458684000000006,1.8726036869999998,0.656770356,2.4403852880000003,1.001872283,0.167943662,0.47907728899999996,0.330896642,0.47907728899999996,WBGene00007397,C07A4.2
2027,1577,1578,C16C4.6,0.004898525999999999,0.065633413,2.05036425,0.728725072,1.8002947040000001,0.806173991,0.24065108300000002,0.008126525,0.555909262,0.555909262,WBGene00015830,fbxb-98
8517,1413,1414,F45E4.3a,0.003562446,0.053230243,2.327689026,0.7986546840000001,1.864329343,1.169116621,0.42908157799999996,0.13748743300000002,0.527692378,0.527692378,WBGene00018468,tag-80
17958,775,776,Y48A6C.8,0.000531665,0.01448581,2.507900882,0.723932613,2.963822705,1.907993735,0.363922065,0.42219557799999996,0.21814503300000002,0.42219557799999996,WBGene00219394,Y48A6C.8
2053,812,813,C17B7.5,0.00061831,0.016079856,2.529059658,0.738745285,2.354835965,1.470919936,0.100191222,0.718425671,0.35448744200000004,0.718425671,WBGene00015879,C17B7.5
10049,47,48,F58E1.6b,7.24e-11,3.24e-08,2.537719333,0.389486145,4.063010384,1.599157911,0.130815709,4.3700000000000005e-05,0.096733476,0.096733476,WBGene00003734,nhx-6
19835,1196,1197,Y81G3A.5b,0.00209798,0.037085613999999996,3.0836913160000003,1.002500492,1.1550026070000001,2.403561154,0.5697135,0.34186765799999996,0.9377973559999999,0.9377973559999999,WBGene00000661,col-86
3529,1641,1642,C41C4.5h,0.005474335,0.07048957,3.2710594889999998,1.177609902,0.986677903,3.167024058,1.006678907,1.06347863,1.073468714,1.073468714,WBGene00006832,unc-105
8057,1856,1857,F41B4.2a,0.0077515169999999994,0.08825542300000001,3.330606398,1.250835327,1.010352433,3.283374388,1.2617379,1.0851456240000001,1.053309174,1.0851456240000001,WBGene00018258,F41B4.2
1242,786,787,C06E7.2b,0.0005609909999999999,0.015071193,3.375790023,0.978545063,1.5932004990000002,2.486810975,0.7784710440000001,0.232620561,0.657854615,0.657854615,WBGene00015539,C06E7.2
11358,984,985,K08F4.13,0.001126824,0.024225211,3.439895095,1.0562247059999998,1.7223607490000001,3.2090875789999997,0.588106094,1.08530985,0.59228966,1.08530985,WBGene00045012,K08F4.13
10632,1184,1185,JC8.3c.6,0.002061253,0.036777277000000004,3.493879965,1.133912066,2.5059072380000003,9.050081827,1.61469191,-0.15132237699999998,0.313942951,0.313942951,WBGene00004424,rpl-12
10198,647,648,F59C12.2a,0.000300508,0.009805003,3.915831691,1.0832590770000001,1.512260285,3.987409178,1.0576370290000001,0.016703488,0.702538311,0.702538311,WBGene00004776,ser-1
14421,1136,1137,T16G12.9c,0.001830113,0.034031736,4.06244722,1.303528466,1.217518985,3.312415466,1.657041583,-0.34428044399999996,0.891738108,0.891738108,WBGene00011810,T16G12.9
168,1706,1707,B0218.1a.3,0.005992113,0.074175207,4.341862385,1.579885895,2.112697465,5.806610612,3.312828171,-2.064989847,0.431230988,0.431230988,WBGene00015047,faah-1
9365,742,743,F54D11.2.1,0.000451057,0.012835388,4.384329547,1.2497181,2.412860163,7.21897874,2.004390855,-0.083339384,0.33830214,0.33830214,WBGene00018812,sumv-2
14402,1391,1392,T16A9.4b.1,0.003415205,0.051873326,4.52207324,1.544601921,2.116736564,4.853762758999999,3.1488729089999996,-0.769174618,0.42981973,0.42981973,WBGene00011794,nep-21
10357,1804,1805,H06O01.1.3,0.007180863000000001,0.08411356199999999,4.768048392,1.773604375,1.763885055,6.75240911,1.7715219180000001,2.9469868010000004,0.572620102,2.9469868010000004,WBGene00003964,pdi-3
3907,959,960,C47C12.3b,0.001034168,0.022776466000000002,4.813819362,1.4671525269999999,1.9348401869999998,5.563092951000001,2.109756289,1.1190485159999999,0.498279796,1.1190485159999999,WBGene00004335,ref-2
19416,598,599,Y71F9B.5c.2,0.00021548599999999998,0.007606418,4.947622831,1.337147128,1.9334601000000002,5.899755605,2.14204013,0.5399035329999999,0.498839354,0.5399035329999999,WBGene00003006,lin-17
8000,851,852,F40F8.1.1,0.000710276,0.017614685,5.169938322,1.527045953,2.0713844669999997,6.228468259,3.033272632,0.46453138,0.445939996,0.46453138,WBGene00009575,F40F8.1
