,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
8497,224,225,F45E10.1a,2.3899999999999998e-05,0.002247065,-7.632939048,1.8066884580000002,3.137496248,7.027950153,1.87811209,0.5699802979999999,0.19029749999999998,0.5699802979999999,WBGene00006788,unc-53
6992,119,120,F27E11.3b,1.65e-06,0.000290807,-7.213781064,1.505351184,1.85931012,4.645129494,1.169710287,0.199894364,0.5298513539999999,0.5298513539999999,WBGene00000478,cfz-2
20950,426,427,ZK783.1g,0.00028695,0.014208368999999998,-7.094079815,1.9560134269999998,2.4742381680000003,5.529345366,2.2811282619999997,0.588363132,0.322020753,0.588363132,WBGene00022816,fbn-1
7151,308,309,F29C4.8c,7.87e-05,0.005385165,-6.945261207000001,1.75904398,2.248535098,4.645862001,1.934401987,-0.8018131059999999,0.386274806,0.386274806,WBGene00000674,col-99
13245,418,419,T01D1.2g.2,0.000261733,0.013207205,-6.908817514,1.8925687780000002,1.5753778459999999,5.968703631,2.018915154,0.536461813,0.6674472810000001,0.6674472810000001,WBGene00001340,etr-1
14720,676,677,T21E8.1b.1,0.001176363,0.03673833,-6.243854672,1.9244131000000002,2.413496254,5.122553516,2.439395276,0.322505211,0.338129058,0.338129058,WBGene00004000,pgp-6
18339,297,298,Y52B11A.3b.2,6.620000000000001e-05,0.004793305,-6.201686058,1.5544312480000002,1.477579081,3.821722128,1.08960833,0.085777857,0.7225840490000001,0.7225840490000001,WBGene00013123,Y52B11A.3
14423,442,443,T16H12.11.2,0.00031358,0.014966206000000001,-6.193372344,1.718560029,2.497945203,5.699820137000001,1.891483869,0.323602561,0.31595365,0.323602561,WBGene00011819,hal-2
11782,642,643,M01A10.2d,0.000962022,0.031633013,-6.094412028,1.8460060219999999,2.353529519,5.655552822000001,1.996559285,0.55924439,0.35486106,0.55924439,WBGene00006594,tom-1
11249,637,638,K08C7.3c.1,0.000946421,0.03132045,-6.079146176,1.8388287269999999,3.1081790239999996,5.452977765,2.3412429930000003,-2.176771585,0.194725322,0.194725322,WBGene00001328,epi-1
9416,691,692,F54E2.3i,0.001259246,0.038474347,-5.951055192999999,1.8452259780000002,4.779198763,6.5516635260000005,1.653657647,0.899986537,0.059867439,0.899986537,WBGene00004130,ketn-1
13040,135,136,R13H8.1h,3.27e-06,0.00050826,-5.776725912000001,1.241470784,4.869177308,6.721163007,1.099293479,-0.71094896,0.056643800999999994,0.056643800999999994,WBGene00000912,daf-16
16330,1204,1205,Y106G6H.6d.2,0.004914413,0.08622857699999999,-5.7146420639999995,2.031807064,3.302630197,5.433877604,2.367444358,0.7287356009999999,0.167237329,0.7287356009999999,WBGene00013719,Y106G6H.6
704,263,264,C01F6.6f,4.4200000000000004e-05,0.003521243,-5.696311755,1.3947523530000001,3.506368239,6.522272825,1.31569914,-1.255601846,0.143301454,0.143301454,WBGene00006438,nrfl-1
19369,711,712,Y71F9AL.13b.1,0.001341694,0.039786039,-5.392506696,1.681527835,1.075857523,2.558568616,1.121250463,-0.578407101,0.9994014309999999,0.9994014309999999,WBGene00004412,rpl-1
3488,1292,1293,C39F7.2a,0.005839238,0.09547490800000001,-5.390922193,1.955588684,1.371621714,4.694220473000001,1.880387121,0.987858205,0.787354552,0.987858205,WBGene00016539,madd-2
17257,285,286,Y39B6A.19a,6.25e-05,0.004621417,-5.389293226,1.346274538,1.458939243,2.7304744430000003,0.625753152,0.386534262,0.7335881959999999,0.7335881959999999,WBGene00006696,twk-46
15840,1129,1130,W05F2.4d,0.0041409920000000005,0.077600282,-5.377083976000001,1.8753670519999999,1.1156502000000001,3.7531069560000003,1.669794115,-0.018498908999999997,0.9679570690000001,0.9679570690000001,WBGene00021036,W05F2.4
503,1176,1177,B0464.5d.2,0.004631035,0.083031971,-5.365193881000001,1.894732047,6.479314323,6.55822927,1.04749076,1.6450163880000002,0.01862991,1.6450163880000002,WBGene00004980,spk-1
11250,743,744,K08C7.3c.2,0.001492308,0.042354172,-5.227745852,1.645924894,2.474263406,3.8803985310000004,1.7097873380000002,-1.5513856540000002,0.32201423,0.32201423,WBGene00001328,epi-1
