target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1528	4064.15	58.3422
F27C8.1	1940	1681	129	1.68329
F07C3.7	1728	1469	155	2.31445
F52H2.2	1739	1480	552	8.18115
T13A10.10a	1734	1475	32.5368	0.48386
T13A10.10b	1598	1339	15.4632	0.253313
C55C2.5a	1840	1581	51.9583	0.720875
C55C2.5b	1606	1347	0	0
C55C2.5c	1671	1412	17.0417	0.264738
C55C2.5d	1618	1359	0	0
T11F9.4a	1765	1506	0.0632839	0.000921734
T11F9.4b.1	1684	1425	17.9847	0.276838
T11F9.4b.2	1784	1525	60.952	0.876708
F54D12.3	1503	1244	2	0.0352652
F28F9.4	1452	1193	48	0.882547
Y53H1C.1a	2022	1763	2136.44	26.5813
Y53H1C.1b	1958	1699	334.786	4.32227
C50F2.9	258	39.8547	22	12.1082
C50F2.10	414	155.169	2663	376.448
F54B8.5	270	44.4593	0	0
Y38H6C.22	381	123.049	0	0
T22H6.5	484	225.001	95	9.2614
T22H6.7	646	387	71	4.02425
M79.1a	4081	3822	207.889	1.1931
M79.1b	4012	3753	545.111	3.18599
M79.1c	3997	3738	0	0
C24F3.5a	4715	4456	1.93111	0.00950605
C24F3.5b	4726	4467	0.0688853	0.000338258
F12B6.1a	6670	6411	231.027	0.790448
F12B6.1b	6559	6300	219.973	0.765891
Y39D8C.1	5545	5286	466	1.93373
Y53C10A.9	4724	4465	22	0.108078
AC3.3	1403	1144	0	0
F19G12.7	1719	1460	6	0.0901437
F31A3.1	729	470	0	0
Y5H2A.3	1020	761	3	0.0864717
Y105C5A.4	1008	749	0	0
C03A7.7	1174	915	0.393162	0.00942515
C03A7.8	1317	1058	0	0
C03A7.14	1525	1266	3.60684	0.0624928
R09F10.2	1137	878	0	0
F35A5.3	1271	1012	0	0
T01D1.6	1273	1014	3	0.0648964
W09B12.1.1	1984	1725	61.2865	0.779315
W09B12.1.2	2525	2266	104.713	1.01363
Y44E3A.2	1995	1736	90	1.13718
Y48B6A.8	2168	1909	31.4989	0.361931
Y48B6A.7	1930	1671	2	0.0262537
C42D8.5a	3282	3023	82.5093	0.59869
C42D8.5b	1560	1301	3.07561	0.0518551
ZK455.1	3072	2813	2312	18.0283
F54H12.1a	2709	2450	21453	192.069
F54H12.1b	2365	2106	99.9842	1.04138
F54H12.1c.1	2500	2241	2024.97	19.8205
F54H12.1c.2	2562	2303	0.000284407	2.70885e-06
K11G12.2	1888	1629	2	0.0269306
K11G12.7	1660	1401	2	0.0313133
K03F8.2	1800	1541	60	0.854055
