target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1528	4227.82	79.2838
F27C8.1	1940	1681	83	1.41482
F07C3.7	1728	1469	117	2.28221
F52H2.2	1739	1480	582	11.2682
T13A10.10a	1734	1475	20	0.388534
T13A10.10b	1598	1339	1.07583e-05	2.30227e-07
C55C2.5a	1840	1581	66.4651	1.20463
C55C2.5b	1606	1347	0	0
C55C2.5c	1671	1412	50.9969	1.03491
C55C2.5d	1618	1359	40.538	0.854741
T11F9.4a	1765	1506	0	0
T11F9.4b.1	1684	1425	52	1.04564
T11F9.4b.2	1784	1525	0	0
F54D12.3	1503	1244	7	0.161239
F28F9.4	1452	1193	33	0.79262
Y53H1C.1a	2022	1763	2211.31	35.941
Y53H1C.1b	1958	1699	307.486	5.1859
C50F2.9	258	39.8547	7	5.03281
C50F2.10	414	155.169	2337	431.565
F54B8.5	270	44.4593	0	0
Y38H6C.22	381	123.049	7	1.63009
T22H6.5	484	225.001	66	8.40527
T22H6.7	646	387	64	4.73872
M79.1a	4081	3822	303.4	2.27466
M79.1b	4012	3753	592.02	4.52012
M79.1c	3997	3738	29.58	0.226752
C24F3.5a	4715	4456	11.5983	0.0745834
C24F3.5b	4726	4467	0.401666	0.00257656
F12B6.1a	6670	6411	115.514	0.516296
F12B6.1b	6559	6300	575.486	2.6175
Y39D8C.1	5545	5286	596	3.23081
Y53C10A.9	4724	4465	19	0.121934
AC3.3	1403	1144	0	0
F19G12.7	1719	1460	0	0
F31A3.1	729	470	0	0
Y5H2A.3	1020	761	1	0.0376537
Y105C5A.4	1008	749	0	0
C03A7.7	1174	915	3.08848	0.0967197
C03A7.8	1317	1058	0	0
C03A7.14	1525	1266	38.9115	0.880717
R09F10.2	1137	878	8	0.261088
F35A5.3	1271	1012	37	1.04764
T01D1.6	1273	1014	57	1.61075
W09B12.1.1	1984	1725	64.4011	1.06978
W09B12.1.2	2525	2266	146.599	1.8538
Y44E3A.2	1995	1736	108	1.78265
Y48B6A.8	2168	1909	37.5528	0.563674
Y48B6A.7	1930	1671	9	0.154333
C42D8.5a	3282	3023	180.818	1.71394
C42D8.5b	1560	1301	13.0672	0.287804
ZK455.1	3072	2813	2007	20.4442
F54H12.1a	2709	2450	13875.9	162.288
F54H12.1b	2365	2106	35.1305	0.477989
F54H12.1c.1	2500	2241	4082.97	52.2067
F54H12.1c.2	2562	2303	212.881	2.64871
K11G12.2	1888	1629	3	0.0527706
K11G12.7	1660	1401	4	0.0818114
K03F8.2	1800	1541	25	0.464867
ZK973.5	1666	1407	5	0.101828
T09A5.3	1692	1433	6	0.119977
ZC504.2	1758	1499	18	0.344083
C40C9.2	1909	1650	17	0.295227
R02E12.8	1680	1421	6	0.12099
D2092.3	1445	1186	32	0.773138
R01E6.4	1926	1667	49	0.842272
T05C12.2	1595	1336	6	0.128688
F25G6.4	1506	1247	46	1.05702
F25G6.3a	1797	1538	38	0.707977
F25G6.3b	2176	1917	0	0
F53E10.2a	1359	1100	0	0
F53E10.2b	1616	1357	18	0.380088
F28F8.1	1617	1358	28	0.590813
C31H5.3a	1858	1599	16	0.286724
C31H5.3b	1841	1582	0	0
R06A4.10a	1702	1443	0.00419062	8.32154e-05
R06A4.10b	1693	1434	21.3065	0.42575
R06A4.10c	1841	1582	10.6893	0.193614
F27B3.2	1410	1151	4	0.099581
F48E3.7	1435	1176	6	0.146196
F59B1.9	1718	1459	1	0.0196398
T04C12.6.1	1264	1005	2.81003	0.0801191
T04C12.6.2	1366	1107	49.7132	1.28681
T04C12.6.3	1346	1087	4629.46	122.037
T04C12.6.4	1277	1018	14216.3	400.158
T04C12.5.1	1321	1062	6.64348	0.179251
T04C12.5.2	1335	1076	33537	893.109
T04C12.4.1	1480	1221	12510.8	293.602
T04C12.4.2	1564	1305	6027.77	132.354
T04C12.4.3	1559	1300	16.5461	0.364708
M03F4.2a	1672	1413	214.091	4.34158
M03F4.2b.1	1599	1340	0	0
M03F4.2b.2	1603	1344	27.0162	0.575992
M03F4.2b.3	1606	1347	17288.9	367.782
M03F4.2b.4	1596	1337	0	0
M03F4.2b.5	1541	1282	0	0
M03F4.2b.6	1576	1317	0	0
M03F4.2c	1633	1374	10.9153	0.227636
T25C8.2.1	1343	1084	0.0631014	0.00166802
